Itemized report for invoice #66452878,,,,,,,
"Invoice date: Aug 13, 2022",,,,,,,
"This itemized report reflects the cost of each item on the associated invoice. It does not include any promotions, discounts, taxes, or fees.",,,,,,,
,,,,,,,
Itemization details,,,,,,,
,,,,,,,
Sponsored Jobs,,,,,,,
Company,Job requisition ID,Job title,City,Country,Total clicks,Cost,Currency
The Bar Association of San Francisco,6384165-224-226,Client Advocate (Spanish),"San Francisco, CA",US,7,$14.66 ,USD
The Justice & Diversity Center,6384165-237-239,"Staff Attorney, Eviction Defense","San Francisco, CA",US,6,$31.36 ,USD
The Justice & Diversity Center,6384165-238-240,Bilingual Client Advocate (Spanish),"San Francisco, CA",US,14,$31.31 ,USD
The Justice & Diversity Center,6384165-242-244,"Staff Attorney, Domestic Violence","San Francisco, CA",US,2,$0.89 ,USD
The Bar Association of San Francisco,6384165-244-246,Court Appointment Program Fellow,"San Francisco, CA",US,36,$16.95 ,USD
The Justice & Diversity Center,6384165-245-247,Bilingual Client Advocate (Spanish),"San Francisco, CA",US,9,$24.39 ,USD
The Justice & Diversity Center,6384165-252-254,Legal Program Coordinator,"San Francisco, CA",US,14,$36.12 ,USD
The Bar Association of San Francisco,6384165-255-257,Operations Lead Court Appointments,"San Francisco, CA",US,28,$39.87 ,USD
The Justice & Diversity Center,6384165-257-259,"Supervising Attorney, Family Law Project","San Francisco, CA",US,5,$25.77 ,USD
The Bar Association of San Francisco,6384165-258-260,"Staff Attorney, Eviction Defense","San Francisco, CA",US,4,$9.34 ,USD
The Bar Association of San Francisco,6384165-260-262,Legal Interviewer (Cantonese),"San Francisco, CA",US,5,$26.97 ,USD
The Bar Association of San Francisco,6384165-261-263,Conflict Navigator,"San Francisco, CA",US,25,$55.54 ,USD
The Bar Association of San Francisco,6384165-262-264,School to College Coordinator,"San Francisco, CA",US,33,$29.27 ,USD
The Bar Association of San Francisco,6384165-264-266,Associate Mediation Counsel,"San Francisco, CA",US,24,$22.12 ,USD
The Bar Association of San Francisco,6384165-265-267,Program Administrator,"San Francisco, CA",US,15,$42.68 ,USD
The Bar Association of San Francisco,6384165-266-268,Community Outreach and Attorney Engagement Manager,"San Francisco, CA",US,9,$9.53 ,USD
The Bar Association of San Francisco,6384165-267-269,Operations Lead Court Appointments,"San Francisco, CA",US,31,$48.61 ,USD
The Bar Association of San Francisco,6384165-269-271,"Manager, Barrister's Club","San Francisco, CA",US,13,$34.64 ,USD
,,,,Total,280,$500.02 ,USD
,,,,,,,
,,,,,,,
"This itemized report reflects the cost of each item on the associated invoice. It does not include any promotions, discounts, taxes, or fees.",,,,,,,
